timestamp,f_Floatfield,f_Intfield,f_Stringfield,f_Boolfield,t_tag1
2021-11-21T16:25:21.761,0.8200837905465512,3,05wNH,true,GeFUe
2021-11-21T16:25:22.78,-2.1165950607604493,2,rP5ci,true,paA9J
2021-11-21T16:25:23.781,0.17423333229199814,7,IjWzQ,true,6YqnA
2021-11-21T16:25:24.781,-0.7788730693420914,3,rXI6G,true,5B34k
2021-11-21T16:25:25.781,-0.49965992832402084,2,msBpH,true,L8owt
2021-11-21T16:25:26.781,1.3136726445732714,3,BShUX,true,TcHdr
2021-11-21T16:25:27.781,0.5689019248882401,3,PF1J1,false,bvZ45
2021-11-21T16:25:28.781,0.8849976463488218,6,GtPoX,true,P3BA1
2021-11-21T16:25:29.781,-0.8025545373965175,4,75HDt,true,D7i3g
2021-11-21T16:25:30.781,-0.73230121421272,3,6iQDG,false,ePNQw
2021-11-21T16:25:31.781,1.0090600414978217,3,3IiyQ,false,4WrzI
2021-11-21T16:25:32.781,0.47814734865785646,4,RkSnd,false,emFxc
2021-11-21T16:25:33.781,-0.2745401399681355,9,K4wfL,false,2VvlF
2021-11-21T16:25:34.781,-1.3377568188041484,7,Qno1o,false,zOo4Q
2021-11-21T16:25:35.781,-0.1854142230938602,9,1GJjx,false,WYiCr
2021-11-21T16:25:36.781,1.8087341198952773,3,F3BtS,true,EPaqn
2021-11-21T16:25:37.781,-1.8362010438247522,4,iHhEz,false,VyHKU
2021-11-21T16:25:38.781,-0.0976307388492022,4,CNYYY,false,C4SOF
2021-11-21T16:25:39.781,-0.13775775370872229,9,67Mkm,true,MMywA
2021-11-21T16:25:40.781,-1.0671493625154205,6,8XdRx,true,6H7xe
2021-11-21T16:25:41.781,0.7276177897192189,3,ZK0gB,false,oDbpD
2021-11-21T16:25:42.781,-0.37072659307785333,6,rIxGd,true,fJLbX
2021-11-21T16:25:43.781,0.28590030014518236,6,g3JnS,false,PFldd
2021-11-21T16:25:44.781,0.9328574197927945,5,H8DP9,true,iOIug
2021-11-21T16:25:45.781,-0.19626608409549987,3,1DUoO,true,u1ret
2021-11-21T16:25:46.781,0.2451634009672258,8,7Gxzb,true,3c7u8
2021-11-21T16:25:47.781,-1.4267300757460426,5,m0TWl,false,KB0uy
2021-11-21T16:25:48.781,-1.0600782967193527,2,55sAK,false,Q7Kx7
2021-11-21T16:25:49.781,-2.3161172642833736,8,svz6Q,true,dTSQ4
2021-11-21T16:25:50.781,-1.2255148744139324,2,1RB0Z,true,lGffU
2021-11-21T16:25:51.781,-0.9434313413934021,4,5EpE0,false,bQC52
2021-11-21T16:25:52.781,0.39230844048754737,8,6sLWF,false,bUdI3
2021-11-21T16:25:53.781,0.5748849431548312,8,gtNRk,true,1aB6n
2021-11-21T16:25:54.781,0.3686319970778397,8,pgvHD,true,5io85
2021-11-21T16:25:55.781,1.654506993728381,2,BZQG7,true,gZ7Wt
2021-11-21T16:25:56.781,-0.5004649821089461,5,5qaEF,false,ExFrJ
2021-11-21T16:25:57.781,0.16598393878507262,4,wYngG,true,9kxRR
2021-11-21T16:25:58.781,1.3056122818936153,9,4dfkU,true,vtw3f
2021-11-21T16:25:59.781,1.2742711235500674,9,OR8dv,true,pyhKB
2021-11-21T16:26:00.781,-1.0602593822383972,4,GrahM,false,ucimx
2021-11-21T16:26:01.781,1.1813292592168438,2,SW0Y8,false,KXV6f
2021-11-21T16:26:02.781,-1.062325587935935,4,yGdss,true,guqBN
2021-11-21T16:26:03.781,1.2038174503683268,8,AVRWx,true,kpGzT
2021-11-21T16:26:04.781,1.158608137450339,8,dGeTa,false,6Md3a
2021-11-21T16:26:05.781,-0.6089287398433342,1,In2dG,false,e6nqw
2021-11-21T16:26:06.781,-0.6183267986378661,7,FVbL2,true,RdoVD
2021-11-21T16:26:07.781,0.7455024502900028,5,kJZRc,true,PP003
2021-11-21T16:26:08.781,-1.2779092873855484,5,pYSeT,true,Cuj6H
2021-11-21T16:26:09.781,-0.23022540694404425,6,quPUw,false,UCQPw
2021-11-21T16:26:10.781,0.9467235642710855,7,zVSi5,true,b6ort
2021-11-21T16:26:11.781,-0.5817653897155696,2,2sDRV,false,yTRGc
2021-11-21T16:26:12.781,0.5238594569560677,1,f5z7a,true,6a5VL
2021-11-21T16:26:13.781,-1.4193021680654914,8,W8P9y,true,1plfp
2021-11-21T16:26:14.781,0.019098445095339717,7,bD81l,true,2KyUN
2021-11-21T16:26:15.781,0.31736938109672025,3,CyFbv,false,bC5Gt
2021-11-21T16:26:16.781,0.15694961004493097,3,Jwd9H,true,uhniQ
2021-11-21T16:26:17.781,-0.9599982792004225,9,IZ8L6,false,bH6k4
2021-11-21T16:26:18.781,2.5097173994060094,7,6N9UI,true,cogot
2021-11-21T16:26:19.781,0.39591955021150826,9,pi9FL,false,eFsbI
2021-11-21T16:26:20.781,1.417869659057257,8,yUBjs,true,a7CGv
2021-11-21T16:26:21.781,1.6987414994700585,4,MsWmw,true,qicim
2021-11-21T16:26:22.781,-1.3999422702495803,10,NrdsX,false,7fKJO
2021-11-21T16:26:23.781,-0.6529617259370827,1,WNim5,true,VZSK2
2021-11-21T16:26:24.781,-0.0798250981478461,4,CvYsu,true,gUYlm
2021-11-21T16:26:25.781,-1.2966282124141202,2,Hxchi,true,BAteP
2021-11-21T16:26:26.781,-0.02006078766122792,7,ke3P7,true,fnDiG
2021-11-21T16:26:27.781,1.279381373053412,7,xMv4S,true,ZSSfD
2021-11-21T16:26:28.781,1.3023128800718535,10,I12Bo,false,KgIaY
2021-11-21T16:26:29.781,0.9930451161913609,4,KnJWB,false,gyCKp
2021-11-21T16:26:30.781,0.15888391508160943,6,OLATu,true,2W8yS
